"entity_id","MEDICATION"
"02208164","SBS 40 MEDICATED SKIN CREAM (CHLOROXYLENOL .2%, ALLANTOIN .2%)"
"02319012","XAMIOL (BETAMETHASONE (BETAMETHASONE DIPROPIONATE) 0.5MG, CALCIPOTRIOL (CALCIPOTRIOL MONOHYDRATE) 50µG)"
"01996568","ACETAMINOPHENE CODEINE ET CAFEINE FORT (CAFFEINE CITRATE 30MG, CODEINE PHOSPHATE 8MG, ACETAMINOPHEN 500MG)"
"01918338","COUMADIN TAB 2MG (WARFARIN SODIUM 2MG)"
"02309521","PMS-CLOBETASOL (CLOBETASOL PROPIONATE 0.05%)"
"02194058","ARISTOCORT R (TRIAMCINOLONE ACETONIDE 0.1%)"
"02284391","SANDOZ AMLODIPINE (AMLODIPINE (AMLODIPINE BESYLATE) 10.0MG)"
"02288044","SANDOZ FENOFIBRATE S (FENOFIBRATE 100MG)"
"00869015","TEVA-PINDOLOL (PINDOLOL 10MG)"
"02245882","METHAZOLAMIDE (METHAZOLAMIDE 50MG)"
"02319098","AQUA SPF 50 (ZINC OXIDE 10%, OXYBENZONE 2.5%, OCTISALATE 5.0%, OCTINOXATE 7.5%)"
"02245887","RELIEF ASA EXTRA STRENGTH (ACETYLSALICYLIC ACID 500MG)"
"01918311","COUMADIN TAB 1MG (WARFARIN SODIUM 1MG)"
"02194066","ARISTOCORT C (TRIAMCINOLONE ACETONIDE 0.5%)"
"01927949","0.45% SODIUM CHLORIDE INJECTION USP (SODIUM CHLORIDE 4.5MG)"
"01918303","K10 (POTASSIUM CHLORIDE 100MG)"
"02245889","SYNAGIS (PALIVIZUMAB 50MG)"
"01958097","CARDURA-2 TAB 2MG (DOXAZOSIN (DOXAZOSIN MESYLATE) 2MG)"
"00869023","TEVA-PINDOLOL (PINDOLOL 15MG)"
"02050773","AVON MOISTURE SHIELD-TINTED SPF 15 CRM (OXYBENZONE 3.5%, OCTINOXATE 7.5%)"
"02245894","URSO DS (URSODIOL 500MG)"
"00869007","TEVA-PINDOLOL (PINDOLOL 5MG)"
"02245898","CYPROTERONE (CYPROTERONE ACETATE 50MG)"
"02245890","SYNAGIS (PALIVIZUMAB 100MG)"
"01933272","CHLORPROMAZINE HCL INJ 25MG/ML USP (CHLORPROMAZINE HYDROCHLORIDE 25MG)"
"01927930","STERILE WATER FOR INJECTION USP (WATER 100%)"
"02309548","PMS-CLOBETASOL (CLOBETASOL PROPIONATE 0.05%)"
"00789798","ACETAMINOPHEN TAB 500MG USP (ACETAMINOPHEN 500MG)"
"02289008","QUO TOTAL PERFECTION FOUNDATION WITH SPF 15 (OXYBENZONE 2.0%, OCTINOXATE 4.0%)"
"02319071","RAN-GABAPENTIN (GABAPENTIN 400MG)"
"02245860","LUMIGAN (BIMATOPROST 0.03%)"
"00493392","RIMSO-50 (DIMETHYL SULFOXIDE 500MG)"
"02306409","BENYLIN COLD AND SINUS NIGHT (PHENYLEPHRINE HYDROCHLORIDE 5MG, CHLORPHENIRAMINE MALEATE 2MG, ACETAMINOPHEN 500MG)"
"02309556","NOVO-CYPROTERONE/ETHINYL ESTRADIOL (CYPROTERONE ACETATE 2MG, ETHINYL ESTRADIOL 0.035MG)"
"01927922","10% DEXTROSE AND 0.9% SODIUM CHLORIDE INJECTION USP (DEXTROSE 10G, SODIUM CHLORIDE 900MG)"
"02245867","GRAVOL 50MG SOFTGEL CAPSULE (DIMENHYDRINATE 50MG)"
"02373602","HAWAIIAN TROPIC SILK HYDRATION SUNSCREEN LOTION ÉCRAN SOLAIR 30 SPF/FPS (AVOBENZONE 2%, OCTOCRYLENE 5%, OXYBENZONE 3%)"
"02261677","PHL-SODIUM POLYSTYRENE SULFONATE POWDER (SODIUM POLYSTYRENE SULFONATE 94.3MG)"
"02319063","RAN-GABAPENTIN (GABAPENTIN 300MG)"
"02245871","COMFORT SHIELD (DIMETHICONE 3%)"
"02245872","HEXIT LOTION (LINDANE 1%)"
"02245870","FIBER-ON-TABLET (POLYCARBOPHIL (CALCIUM POLYCARBOPHIL) 500MG)"
"02337428","SANDOZ IRBESARTAN HCT (IRBESARTAN 150MG, HYDROCHLOROTHIAZIDE 12.5MG)"
"02288001","ELIZABETH ARDEN INTERVENE RADIANCE BOOSTING MOISTURE LOTION SPF 15 (AVOBENZONE 3.0%, OXYBENZONE 3.0%, OCTINOXATE 7.5%)"
"01927914","RATIO-TOPILENE (BETAMETHASONE (BETAMETHASONE DIPROPIONATE) .5MG)"
"02289016","ADVANCED REVITALIFT DAY (ENSULIZOLE 2.0%, OCTINOXATE 7.5%)"
"02319055","RAN-GABAPENTIN (GABAPENTIN 100MG)"
"00330566","ANAFRANIL (CLOMIPRAMINE HYDROCHLORIDE 10MG)"
"02289024","PRESCRIPTIVES SUNSHEEN CUSTOM COLOR TINTED SELF TANNER UVA/UVB SUNSCREEN SPF 15 FOR FACE AND BODY (OXYBENZONE 2.0%, OCTISALATE 5.0%, OCTINOXATE 7.5%)"
"02230942","PMS-BUSPIRONE (BUSPIRONE HYDROCHLORIDE 10MG)"
"01926578","SECTRAL (ACEBUTOLOL (ACEBUTOLOL HYDROCHLORIDE) 400MG)"
"02230941","PMS-BUSPIRONE (BUSPIRONE HYDROCHLORIDE 5MG)"
"02230946","QUADRACEL (TETANUS TOXOID 5LF, DIPHTHERIA TOXOID 15LF, INACTIVATED POLIOMYELITIS VACCINE (D.C.O.) TYPE 3 SAUKETT 32UNIT, INACTIVATED POLIOMYELITIS VACCINE (D.C.O.) TYPE 2 M.E.F.1 8UNIT, INACTIVATED POLIOMYELITIS VACCINE (D.C.O.) TYPE 1 MAHONEY 40UNIT, PERTACTIN 3µG, FIMBRIAE 5µG, FILAMENTOUS HAEMAGGLUTININ 20µG, PERTUSSIS TOXOID 20µG)"
"02046660","PMS-ACETAMINOPHEN SUPPOSITORIES 120MG (ACETAMINOPHEN 120MG)"
"02274183","CO LEVETIRACETAM (LEVETIRACETAM 250MG)"
"02230949","ROBAXISAL EXTRA STRENGTH (METHOCARBAMOL 400MG, ACETYLSALICYLIC ACID 500MG)"
"02223406","INTRON A (INTERFERON ALFA-2B 10000000UNIT, WATER 1ML)"
"00690201","M.O.S.-20 TAB 20MG (MORPHINE HYDROCHLORIDE 20MG)"
"02162431","NAPROSYN 25MG/ML SUSPENSION (NAPROXEN 25MG)"
"02328305","RAN-RISPERIDONE (RISPERIDONE 0.25MG)"
"02352524","OLIMEL 4.4% (ALANINE 6.41G, LYSINE (L-LYSINE ACETATE) 3.48G, GLUTAMIC ACID 2.21G, OLIVE OIL 32G, TRYPTOPHAN 0.74G, L-THREONINE 2.21G, L-PHENYLALANINE 3.07G, L-LEUCINE 3.07G, L-ISOLEUCINE 2.21G, L-TYROSINE 0.11G, L-PROLINE 2.64G, L-ARGININE 4.34G, L-ASPARTIC ACID 1.28G, SERINE 1.75G, DEXTROSE 154G, SOYBEAN OIL 8G, GLYCINE 3.07G, HISTIDINE 2.64G, L-METHIONINE 2.21G, L-VALINE 2.83G)"
"00395161","PREFRIN LIQ 0.12% (PHENYLEPHRINE HYDROCHLORIDE .12%)"
"02246971","ENTEX LA (GUAIFENESIN 600MG, PSEUDOEPHEDRINE HYDROCHLORIDE 120MG)"
"02172143","SYNTHROID - TAB 200MCG (LEVOTHYROXINE SODIUM 200µG)"
"02179539","FLUORETS  - STP OPH 1MG (FLUORESCEIN SODIUM 1MG)"
"02246974","PSORIASIN LIQUID (COAL TAR 0.66%)"
"02284308","APO-OXCARBAZEPINE (OXCARBAZEPINE 300MG)"
"02259613","RATIO-AMLODIPINE TABLETS 10MG (AMLODIPINE (AMLODIPINE BESYLATE) 10MG)"
"02259605","RATIO-AMLODIPINE TABLETS 5MG (AMLODIPINE (AMLODIPINE BESYLATE) 5MG)"
"02246989","PHL-LOVASTATIN (LOVASTATIN 20MG)"
"02217147","ULTRA STRENGTH NEOCITRAN FLU NIGHT (PSEUDOEPHEDRINE HYDROCHLORIDE 60MG, CHLORPHENIRAMINE MALEATE 4MG, ACETAMINOPHEN 1000MG, DEXTROMETHORPHAN HYDROBROMIDE 30MG)"
"01994247","SLEEP AID (REGULAR STRENGTH) TAB 25MG (DIPHENHYDRAMINE HYDROCHLORIDE 25MG)"
"02230934","JUNIOR STRENGTH ACETAMINOPHEN TABLETS (ACETAMINOPHEN 160MG)"
"02352532","OLIMEL 5.7% E (ALANINE 8.24G, LYSINE (L-LYSINE ACETATE) 4.48G, SODIUM GLYCEROPHOSPHATE 3.67G, GLUTAMIC ACID 2.84G, OLIVE OIL 32G, TRYPTOPHAN 0.95G, L-THREONINE 2.84G, L-PHENYLALANINE 3.95G, L-LEUCINE 3.95G, L-ISOLEUCINE 2.84G, L-TYROSINE 0.15G, L-PROLINE 3.40G, L-ARGININE 5.58G, L-ASPARTIC ACID 1.65G, SERINE 2.25G, DEXTROSE 121G, POTASSIUM CHLORIDE 2.24G, SOYBEAN OIL 8G, GLYCINE 3.95G, HISTIDINE 3.40G, MAGNESIUM CHLORIDE 0.81G, CALCIUM CHLORIDE 0.52G, L-METHIONINE 2.84G, L-VALINE 3.64G, SODIUM ACETATE TRIHYDRATE 1.50G)"
"02230939","BUCKLEY'S NIGHT TIME MIXTURE (MENTHOL 22MG, DIPHENHYDRAMINE HYDROCHLORIDE 12.5MG)"
"02305305","NIGHTTIME TOTAL COLD AND FLU (PSEUDOEPHEDRINE HYDROCHLORIDE 30MG, ACETAMINOPHEN 500MG, DIPHENHYDRAMINE HYDROCHLORIDE 25MG)"
"00506052","APO IBUPROFEN TAB 400MG (IBUPROFEN 400MG)"
"01980696","MORPHINE SULFATE INJ 1MG/ML USP (MORPHINE SULFATE 1MG)"
"01948962","PHARMALGEN YELLOW JACKET VENOM PROTEIN (VESPULA SPP VENOM PROTEIN EXTRACT 120µG)"
"01948970","PHARMALGEN WASP VENOM PROTEIN (POLISTES SPP VENOM PROTEIN EXTRACT 1.1MG)"
"02162423","NAPROSYN E 500MG TABLETS - ECT (NAPROXEN 500MG)"
"00616192","VEPESID (ETOPOSIDE 50MG)"
"02209713","HEPARIN SODIUM 20000UNITS IN 5% DEXTROSE INJ (DEXTROSE 5G, HEPARIN SODIUM 4000UNIT)"
"02172151","SYNTHROID - TAB 300MCG (LEVOTHYROXINE SODIUM 300µG)"
"02168979","MEGACE OS (MEGESTROL ACETATE 40MG)"
"02302438","XYLOCAINE 2% (LIDOCAINE HYDROCHLORIDE 20MG)"
"02328313","RAN-RISPERIDONE (RISPERIDONE 0.5MG)"
"02179547","RIVA-SOL HC OINTMENT (HYDROCORTISONE ACETATE .5%, ZINC SULFATE .5%)"
"00330582","EFUDEX CRM 5% (FLUOROURACIL 5%)"
"02046687","PMS-ACETAMINOPHEN SUPPOSITORIES 325MG (ACETAMINOPHEN 325MG)"
"02246955","DIOVAN-HCT 160/25MG (VALSARTAN 160MG, HYDROCHLOROTHIAZIDE 25MG)"
"02172127","SYNTHROID - TAB 150MCG (LEVOTHYROXINE SODIUM 150µG)"
"01997580","ASACOL (MESALAZINE 400MG)"
"01948997","PHARMALGEN WHITE FACED HORNET VENOM PROTEIN (DOLICHOVESPULA MACULATA VENOM PROTEIN EXTRACT 1.1MG)"
"02284324","FLEXITOL HEEL BALM (LANOLIN 9.88%, UREA 25.0%, PETROLATUM 9.88%)"
"02162415","NAPROSYN E 375MG TABLETS - ECT (NAPROXEN 375MG)"
"02246951","SENNA S. TABLETS (SENNOSIDES 8.6MG, DOCUSATE SODIUM 50MG)"
"02314894","PRO-METFORMIN (METFORMIN HYDROCHLORIDE 850MG)"
"02246953","AMIODARONE FOR INJECTION 50MG/ML (AMIODARONE HYDROCHLORIDE 50MG)"
"02209721","HEPARIN SODIUM 25000UNITS IN 5% DEXTROSE INJ (DEXTROSE 5G, HEPARIN SODIUM 10000UNIT)"
"02262754","CO PAROXETINE (PAROXETINE (PAROXETINE HYDROCHLORIDE) 20MG)"
"02246950","STANHEXIDINE AQUEOUS 2% WITH 4% ISOPROPYL ALCOHOL (CHLORHEXIDINE GLUCONATE 2%, ISOPROPYL ALCOHOL 4%)"
"02305321","FOR GOODNESS FACE ANTIOXIDANT SKIN MOISTURIZING LOTION SPF 30 (AVOBENZONE 3.0%, OXYBENZONE 5.0%, OCTISALATE 5.0%, HOMOSALATE 8.0%, OCTINOXATE 7.5%)"
"02172135","SYNTHROID - TAB 175MCG (LEVOTHYROXINE SODIUM 175µG)"
"02230956","OXYGEN U.S.P. (OXYGEN 99.99%)"
"02274191","CO LEVETIRACETAM (LEVETIRACETAM 500MG)"
"02230954","VISIBLE DIFFERENCE SKIN BALANCING LOTION SPF 15 (OXYBENZONE 3%, OCTINOXATE 6%)"
"02168952","PMS-DESIPRAMINE - TAB 100MG (DESIPRAMINE HYDROCHLORIDE 100MG)"
"02246969","SANDOZ ESTRADIOL DERM 100 (ESTRADIOL (ESTRADIOL HEMIHYDRATE) 8MG)"
"02246968","SANDOZ ESTRADIOL DERM 75 (ESTRADIOL (ESTRADIOL HEMIHYDRATE) 6MG)"
"02230951","MYLAN-CLONAZEPAM (CLONAZEPAM 2MG)"
"01926543","SECTRAL (ACEBUTOLOL (ACEBUTOLOL HYDROCHLORIDE) 100MG)"
"02246967","SANDOZ ESTRADIOL DERM 50 (ESTRADIOL (ESTRADIOL HEMIHYDRATE) 4MG)"
"01997572","DANTRIUM INTRAVENOUS     -PWS 20MG/VIAL (DANTROLENE SODIUM 20MG)"
"02230950","MYLAN-CLONAZEPAM (CLONAZEPAM 0.5MG)"
"02350297","RATIO-ATORVASTATIN (ATORVASTATIN (ATORVASTATIN CALCIUM) 10MG)"
"02246966","METHOCARBAMOL OMEGA (METHOCARBAMOL 100MG)"
"01948989","PHARMALGEN WASP VENOM PROTEIN (POLISTES SPP VENOM PROTEIN EXTRACT 120µG)"
"02230958","ONE TOUCH TOPICAL ANESTHETIC GEL (BENZOCAINE 18%, TETRACAINE HYDROCHLORIDE 2%)"
"02272059","MYLAN-TIZANIDINE (TIZANIDINE (TIZANIDINE HYDROCHLORIDE) 4MG)"
"02284316","APO-OXCARBAZEPINE (OXCARBAZEPINE 600MG)"
"02046679","PMS-ACETAMINOPHEN SUPPOSITORIES 160MG (ACETAMINOPHEN 160MG)"
"01926551","SECTRAL (ACEBUTOLOL (ACEBUTOLOL HYDROCHLORIDE) 200MG)"
"02246964","PHL-METFORMIN (METFORMIN HYDROCHLORIDE 500MG)"
"02352516","OLIMEL 4.4% E (ALANINE 6.41G, LYSINE (L-LYSINE ACETATE) 3.48G, SODIUM GLYCEROPHOSPHATE 3.67G, GLUTAMIC ACID 2.21G, OLIVE OIL 32G, TRYPTOPHAN 0.74G, L-THREONINE 2.21G, L-PHENYLALANINE 3.07G, L-LEUCINE 3.07G, L-ISOLEUCINE 2.21G, L-TYROSINE 0.11G, L-PROLINE 2.64G, L-ARGININE 4.34G, L-ASPARTIC ACID 1.28G, SERINE 1.75G, DEXTROSE 154G, POTASSIUM CHLORIDE 2.24G, SOYBEAN OIL 8G, GLYCINE 3.07G, HISTIDINE 2.64G, MAGNESIUM CHLORIDE 0.81G, CALCIUM CHLORIDE 0.52G, L-METHIONINE 2.21G, L-VALINE 2.83G, SODIUM ACETATE TRIHYDRATE 1.50G)"
"02246965","METFORMIN (METFORMIN HYDROCHLORIDE 850MG)"
"02246963","RATIO-LAMOTRIGINE (LAMOTRIGINE 150MG)"
"00030988","MEDROL 4 MG (METHYLPREDNISOLONE 4MG)"
"02262762","CO PAROXETINE (PAROXETINE (PAROXETINE HYDROCHLORIDE) 30MG)"
"02295288","APO-ATORVASTATIN (ATORVASTATIN (ATORVASTATIN CALCIUM PROPYLENE GLYCOL SOLVATE) 20MG)"
"02272083","SAIZEN 8.8MG (5.83MG/ML) (SOMATROPIN 8.8MG)"
"00247960","ETIBI TAB 100MG (ETHAMBUTOL HYDROCHLORIDE 100MG)"
"02288052","SANDOZ FENOFIBRATE S (FENOFIBRATE 160MG)"
"00693596","LIQUI-MED ANALGESIC GAS (NITROUS OXIDE 50%, OXYGEN 50%)"
"02230988","CEREBYX (FOSPHENYTOIN SODIUM 75MG)"
"00021172","NOVO-RYTHRO ESTOLATE SUS 125MG/ (ERYTHROMYCIN (ERYTHROMYCIN ESTOLATE) 125MG)"
"00030910","CORTEF TABLETS 10MG (HYDROCORTISONE 10MG)"
"02352567","APO-MYCOPHENOLATE (MYCOPHENOLATE MOFETIL 500MG)"
"02128446","ANODAN-HC OINTMENT (HYDROCORTISONE ACETATE 0.5%, ZINC SULFATE 0.5%)"
"00622885","TROPICACYL OPH SOLN 1% (TROPICAMIDE 1%)"
"02258129","OXYCONTIN 5MG (OXYCODONE HYDROCHLORIDE 5MG)"
"02328348","RAN-RISPERIDONE (RISPERIDONE 2.0MG)"
"00690244","M.O.S.-60 TAB 60MG (MORPHINE HYDROCHLORIDE 60MG)"
"02337479","ANALGESIC AND MUSCLE RELAXANT CAPLETS (IBUPROFEN 200MG, METHOCARBAMOL 500MG)"
"00247979","ETIBI TAB 400MG (ETHAMBUTOL HYDROCHLORIDE 400MG)"
"02295296","APO-ATORVASTATIN (ATORVASTATIN (ATORVASTATIN CALCIUM PROPYLENE GLYCOL SOLVATE) 40MG)"
"02313219","ULTRA SHEER DRY-TOUCH SUNSCREEN SPF 45 (AVOBENZONE 3.0%, OCTOCRYLENE 2.8%, OXYBENZONE 6.0%, OCTISALATE 5.0%, HOMOSALATE 10.0%)"
"02217104","ALLERGENIC EXTRACT, STANDARDIZED MITE, D.PTERONYSSINUS (DERMATOPHAGOIDES PTERONYSSINUS 10000UNIT)"
"00646350","SEPTOPAL (GENTAMICIN (GENTAMICIN SULFATE) 4.5MG)"
"00690236","M.O.S.-50 CONCENTRATE LIQ 50MG/ML (MORPHINE HYDROCHLORIDE 50MG)"
"02352575","BERINERT (Human C1 Esterase Inhibitor 500UNIT)"
"02337487","CO VALSARTAN (VALSARTAN 40MG)"
"00622877","AK FLUOR INJ 25% (FLUORESCEIN SODIUM 250MG)"
"00030929","CORTEF TABLETS 20 MG (HYDROCORTISONE 20MG)"
"02258110","CO ALENDRONATE (ALENDRONIC ACID (ALENDRONATE SODIUM TRIHYDRATE) 70MG)"
"02264927","EPIRUBICIN HYDROCHLORIDE INJECTION (EPIRUBICIN HYDROCHLORIDE 2MG)"
"02288079","SANDOZ ALENDRONATE (ALENDRONIC ACID (ALENDRONATE SODIUM) 5MG)"
"02295261","APO-ATORVASTATIN (ATORVASTATIN (ATORVASTATIN CALCIUM PROPYLENE GLYCOL SOLVATE) 10MG)"
"00690228","M.O.S.-40 TAB 40MG (MORPHINE HYDROCHLORIDE 40MG)"
"02289083","NOVO-FENOFIBRATE-S (FENOFIBRATE 100MG)"
"01932187","ROBAXIN 750 (METHOCARBAMOL 750MG)"
"02305356","COLD & SINUS LIQUID FASTGELS (GUAIFENESIN 100MG, PSEUDOEPHEDRINE HYDROCHLORIDE 30MG, ACETAMINOPHEN 250MG, DEXTROMETHORPHAN HYDROBROMIDE 10MG)"
"02352540","OLIMEL 5.7% (ALANINE 8.24G, LYSINE (L-LYSINE ACETATE) 4.48G, GLUTAMIC ACID 2.84G, OLIVE OIL 32G, TRYPTOPHAN 0.95G, L-THREONINE 2.84G, L-PHENYLALANINE 3.95G, L-LEUCINE 3.95G, L-ISOLEUCINE 2.84G, L-TYROSINE 0.15G, L-PROLINE 3.40G, L-ARGININE 5.58G, L-ASPARTIC ACID 1.65G, SERINE 2.25G, DEXTROSE 121G, SOYBEAN OIL 8G, GLYCINE 3.95G, HISTIDINE 3.40G, L-METHIONINE 2.84G, L-VALINE 3.64G)"
"02328321","RAN-RISPERIDONE (RISPERIDONE 1.0MG)"
"02337495","CO VALSARTAN (VALSARTAN 80MG)"
"02258102","CO ALENDRONATE (ALENDRONIC ACID (ALENDRONATE SODIUM TRIHYDRATE) 40MG)"
"02246991","PHL-METHYLPHENIDATE (METHYLPHENIDATE HYDROCHLORIDE 5MG)"
"02209764","EGOZINC-HC (HYDROCORTISONE ACETATE 0.5%, ZINC SULFATE 0.5%)"
"00646318","CYTOSAR (CYTARABINE 2G)"
"02358964","AVON CARE MOISTURE REPLENISH DAILY HYDRATING CREAM (OXYBENZONE 3.5%, OCTINOXATE 7.5%)"
"02246994","DAILY MOISTURIZING CREAM SPF 15 (OXYBENZONE 3G, OCTISALATE 3G, OCTINOXATE 7.5G)"
"02302489","AVEENO ACTIVE NATURALS POSITIVELY AGELESS DAY (AVOBENZONE 3.0%, OCTOCRYLENE 1.7%, OXYBENZONE 3.0%, OCTISALATE 5.0%, HOMOSALATE 12.0%)"
"02246990","PHL-LOVASTATIN (LOVASTATIN 40MG)"
"00030937","PROVERA 5MG TABLETS (MEDROXYPROGESTERONE ACETATE 5MG)"
"02009706","M.O.S. SULPHATE 50MG TAB (MORPHINE SULFATE 50MG)"
"02289091","NOVO-FENOFIBRATE-S (FENOFIBRATE 160MG)"
"02288087","SANDOZ ALENDRONATE (ALENDRONIC ACID (ALENDRONATE SODIUM) 10MG)"
"02230998","APO-DILTIAZ CD (DILTIAZEM HYDROCHLORIDE 180MG)"
"02230999","APO-DILTIAZ CD (DILTIAZEM HYDROCHLORIDE 240MG)"
"02230997","APO-DILTIAZ CD (DILTIAZEM HYDROCHLORIDE 120MG)"
"02209780","ACID CONCENTRATE 2163 (DEXTROSE 90G, POTASSIUM CHLORIDE 10.06G, SODIUM CHLORIDE 275G, ACETIC ACID 10.8G, MAGNESIUM CHLORIDE 2.14G, CALCIUM CHLORIDE 6.24G)"
"02272091","EMTRIVA (EMTRICITABINE 200MG)"
"02352559","APO-MYCOPHENOLATE (MYCOPHENOLATE MOFETIL 250MG)"
"00622893","BALANCED SALT SOLUTION (POTASSIUM CHLORIDE 0.75MG, SODIUM CHLORIDE 6.4MG, SODIUM CITRATE 1.7MG, SODIUM ACETATE 3.9MG, MAGNESIUM CHLORIDE 0.3MG, CALCIUM CHLORIDE 0.48MG)"
"02042339","MIN-OVRAL 28 (LEVONORGESTREL 150µG, ETHINYL ESTRADIOL 30µG)"
"02369842","COPPERTONE SUNSCREEN LOTION OIL FREE SPF 60 (AVOBENZONE 3%, OCTOCRYLENE 10%, OXYBENZONE 6%, OCTISALATE 5%, HOMOSALATE 15%)"
